food_id,food_code,duplicate_code_sequence,source_row_index,food_name,search_name,description,group_code,previous_code,main_data_references,footnote
13-145,13-145,1,1,"Ackee, canned, drained","ackee, canned, drained 8 cans",8 cans,DG,554,"MW4, 1978; and Vegetables, Herbs and Spices Supplement, 1991",
13-146,13-146,1,2,"Agar, dried","agar, dried literature sources",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",
13-147,13-147,1,3,"Agar, dried, soaked and drained","agar, dried, soaked and drained literature sources",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",
13-148,13-148,1,4,"Alfalfa sprouts, raw","alfalfa sprouts, raw analytical and literature sources",Analytical and literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",
13-801,13-801,1,5,"Allspice, ground","allspice, ground literature sources",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",
14-870,14-870,1,6,"Almonds, flaked and ground","almonds, flaked and ground 10 samples",10 samples,GA,14-801 14-855 50-972,"Reviewed 2013. LGC, Snacks and nuts, 1989-1991; and Fatty Acid Supplement, 1998 (14-855). Selenium from Analysis of foods for Selenium 1994",
14-897,14-897,1,7,"Almonds, toasted","almonds, toasted literature sources",Literature sources,GA,14-803,"USDA SR28, 2015",
14-898,14-898,1,8,"Almonds, weighed with shells","almonds, weighed with shells calculated from 14-896",Calculated from 14-896,GA,14-883,"USDA SR28, 2015",
14-896,14-896,1,9,"Almonds, whole kernels","almonds, whole kernels literature sources, prunus dulcis","Literature sources, Prunus dulcis",GA,,"USDA SR28, 2015",
13-150,13-150,1,10,"Amaranth leaves, boiled in unsalted water","amaranth leaves, boiled in unsalted water calculation from raw",Calculation from raw,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",
13-149,13-149,1,11,"Amaranth leaves, raw","amaranth leaves, raw literature sources",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",
14-001,14-001,1,12,Amla,amla literature sources,Literature sources,FA,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Insitute of Nutrition, Indian Council of Medical Research",
16-448,16-448,1,13,"Anchovies, canned in oil, drained","anchovies, canned in oil, drained 10 samples, 4 brands","10 samples, 4 brands",JC,16-323,"Data from Fish and Fish Products Supplement, 1993 (16-168) except fatty acids and phytosterols from RHM, fatty acids in foods, 1993",
13-802,13-802,1,14,Anise seeds,anise seeds literature sources,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",
14-272,14-272,1,15,"Apple juice concentrate, unsweetened, commerical","apple juice concentrate, unsweetened, commerical 10 samples, 68.6 brix; imported commercial concentrate","10 samples, 68.6 Brix; imported commercial concentrate",PE,,"Fruit and Nuts Supplement, 1992",
14-331,14-331,1,16,"Apple juice, clear, ambient and chilled","apple juice, clear, ambient and chilled 10 samples, 9 brands, from concentrate","10 samples, 9 brands, from concentrate",FC,14-271,"DH, Nutrient analysis of fruit and vegetables, 2013",
17-851,17-851,1,17,"Apple sauce, homemade","apple sauce, homemade recipe",Recipe,WC,17-608,Updated 2014,
14-344,14-344,1,18,"Apples, cooking, baked with sugar, flesh only","apples, cooking, baked with sugar, flesh only calculated from 672g apple (14-342) and 40g sugar (17-061)",Calculated from 672g apple (14-342) and 40g sugar (17-061),FA,14-007,Updated 2014,
14-345,14-345,1,19,"Apples, cooking, baked with sugar, flesh only, weighed with skin","apples, cooking, baked with sugar, flesh only, weighed with skin calculated from 14-344 using edible portion of 0.84",Calculated from 14-344 using edible portion of 0.84,FA,14-008,Updated 2014,
14-342,14-342,1,20,"Apples, cooking, baked without sugar, flesh only","apples, cooking, baked without sugar, flesh only calculated from 14-320",Calculated from 14-320,FA,14-010,"DH, Nutrient analysis of fruit and vegetables, 2013",
14-343,14-343,1,21,"Apples, cooking, baked without sugar, flesh only, weighed with skin","apples, cooking, baked without sugar, flesh only, weighed with skin calculated from 14-342 using edible portion of 0.84",Calculated from 14-342 using edible portion of 0.84,FA,14-011,"DH, Nutrient analysis of fruit and vegetables, 2013",
14-362,14-362,1,22,"Apples, cooking, raw, flesh only, peeled","apples, cooking, raw, flesh only, peeled bramley apples and unspecified. analytical data, 1985-86; and 2011-12","Bramley apples and unspecified. Analytical data, 1985-86; and 2011-12",F,14-002,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",
14-363,14-363,1,23,"Apples, cooking, raw, flesh only, weighed with skin and core","apples, cooking, raw, flesh only, weighed with skin and core bramley variety; calculated from 14-362",Bramley variety; calculated from 14-362,F,14-003,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",
14-332,14-332,1,24,"Apples, cooking, stewed with sugar, flesh only","apples, cooking, stewed with sugar, flesh only calculated from stewed without sugar",Calculated from stewed without sugar,FA,14-004,"DH, Nutrient analysis of fruit and vegetables, 2013",
14-320,14-320,1,25,"Apples, cooking, stewed without sugar, flesh only","apples, cooking, stewed without sugar, flesh only 22 samples, autumn and winter, uk grown pre-packed and loose, including bramley and unspecified varieties","22 samples, autumn and winter, UK grown pre-packed and loose, including Bramley and unspecified varieties",FA,,"DH, Nutrient analysis of fruit and vegetables, 2013",
14-016,14-016,1,26,"Apples, eating, dried","apples, eating, dried 6 samples, 3 brands and calculation from 14-014","6 samples, 3 brands and calculation from 14-014",FA,,"LGC, Fruit and vegetables, 1989-1990",
14-319,14-319,1,27,"Apples, eating, raw, flesh and skin","apples, eating, raw, flesh and skin 22 samples, autumn and winter, uk grown and imported, pre-packed and loose, including gala, braeburn, golden delicious, pink lady, cox and granny smith","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, including Gala, Braeburn, Golden Delicious, Pink Lady, Cox and Granny Smith",FA,14-012,"DH, Nutrient analysis of fruit and vegetables, 2013",
14-346,14-346,1,28,"Apples, eating, raw, flesh and skin, weighed with core","apples, eating, raw, flesh and skin, weighed with core calculated from 14-319 using edible portion of 0.87",Calculated from 14-319 using edible portion of 0.87,FA,14-013,"DH, Nutrient analysis of fruit and vegetables, 2013. Vitamin K1 calculated from Bolton-Smith et al, Br.J. Nutr 83, 2000",
14-031,14-031,1,29,"Apricots, dried","apricots, dried no stones",No stones,FA,,"LGC, Nutritional composition of fruit products, 1985-1986",
14-032,14-032,1,30,"Apricots, dried, stewed with sugar","apricots, dried, stewed with sugar calculated from 450g fruit, 770g water, 54g sugar","Calculated from 450g fruit, 770g water, 54g sugar",FA,,"Fruit and Nuts Supplement, 1992",
14-033,14-033,1,31,"Apricots, dried, stewed without sugar","apricots, dried, stewed without sugar calculated from 450g fruit, 770g water","Calculated from 450g fruit, 770g water",FA,,"Fruit and Nuts Supplement, 1992",
14-025,14-025,1,32,"Apricots, raw, flesh and skin","apricots, raw, flesh and skin 18 samples",18 samples,FA,50-860,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990",
14-026,14-026,1,33,"Apricots, raw, flesh and skin, weighed with stones","apricots, raw, flesh and skin, weighed with stones calculated from 14-025",Calculated from 14-025,FA,50-861,"LGC, Fruit and vegetables, 1989-1990",
14-392,14-392,1,34,"Apricots, ready-to-eat, semi-dried","apricots, ready-to-eat, semi-dried 10 samples, 8 products, including soft, ready-to-eat and partially rehydrated","10 samples, 8 products, including soft, ready-to-eat and partially rehydrated",FA,14-036,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",
14-027,14-027,1,35,"Apricots, stewed with sugar","apricots, stewed with sugar 1000g fruit, 100g water, 120g sugar; stones removed","1000g fruit, 100g water, 120g sugar; stones removed",FA,,"Fruit and Nuts Supplement, 1992",
14-028,14-028,1,36,"Apricots, stewed with sugar, weighed with stones","apricots, stewed with sugar, weighed with stones calculated from 14-027",Calculated from 14-027,FA,,"Fruit and Nuts Supplement, 1992",
14-029,14-029,1,37,"Apricots, stewed without sugar","apricots, stewed without sugar 500g fruit, 75g water; stones removed","500g fruit, 75g water; stones removed",FA,,"Fruit and Nuts Supplement, 1992",
14-030,14-030,1,38,"Apricots, stewed without sugar, weighed with stones","apricots, stewed without sugar, weighed with stones calculated from 14-029",Calculated from 14-029,FA,,"Fruit and Nuts Supplement, 1992",
13-152,13-152,1,39,"Arrowhead, boiled in unsalted water","arrowhead, boiled in unsalted water calculated from raw",Calculated from raw,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",
13-151,13-151,1,40,"Arrowhead, raw","arrowhead, raw literature sources",Literature sources,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",
11-001,11-001,1,41,Arrowroot,arrowroot 2 samples from different shops,2 samples from different shops,AA,,"MW3, 1960. Reviewed 2014",
13-155,13-155,1,42,"Artichoke, globe, base of leaves and heart, boiled in unsalted water","artichoke, globe, base of leaves and heart, boiled in unsalted water base of leaves and heart; boiled 35 minutes",Base of leaves and heart; boiled 35 minutes,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",
13-154,13-154,1,43,"Artichoke, globe, boiled, weighed as served","artichoke, globe, boiled, weighed as served calculated from boiled in unsalted water",Calculated from boiled in unsalted water,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",
13-153,13-153,1,44,"Artichoke, globe, raw","artichoke, globe, raw literature sources",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",
13-156,13-156,1,45,"Artichoke, Jerusalem, boiled in unsalted water, flesh only","artichoke, jerusalem, boiled in unsalted water, flesh only boiled 20 minutes",Boiled 20 minutes,DG,,"MW4, 1978",
13-803,13-803,1,46,Asafoetida,asafoetida resin from root of ferula plant. literature sources,Resin from root of Ferula plant. Literature sources,H,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Institute of Nutrition",
13-639,13-639,1,47,"Asparagus, grilled","asparagus, grilled calculated from steamed. water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems. tough base of stems removed, grilled for 4-6 minutes","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems. Tough base of stems removed, grilled for 4-6 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",
13-157,13-157,1,48,"Asparagus, raw","asparagus, raw tough base of stems removed",Tough base of stems removed,DG,50-737,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",
13-640,13-640,1,49,"Asparagus, roasted in rapeseed oil","asparagus, roasted in rapeseed oil calculated from steamed. water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems, tough base of stems removed. roasted in 0.5-1 tbsp oil for 10 minutes","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems, tough base of stems removed. Roasted in 0.5-1 tbsp oil for 10 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",
13-638,13-638,1,50,"Asparagus, steamed","asparagus, steamed 11 samples, fresh, uk and imported, including tips and thicker stems. tough base of stems removed, steamed for 3-18 minutes","11 samples, fresh, UK and imported, including tips and thicker stems. Tough base of stems removed, steamed for 3-18 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",
13-651,13-651,1,51,"Aubergine, flesh and skin, boiled in unsalted water","aubergine, flesh and skin, boiled in unsalted water 11 samples, uk and imported. cut into chunks and boiled for 10-30 minutes","11 samples, UK and imported. Cut into chunks and boiled for 10-30 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",
13-669,13-669,1,52,"Aubergine, flesh and skin, roasted in rapeseed oil","aubergine, flesh and skin, roasted in rapeseed oil 11 samples, uk and imported, roasted in a small amount of rapeseed oil for 20-30 minutes","11 samples, UK and imported, roasted in a small amount of rapeseed oil for 20-30 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",
13-412,13-412,1,53,"Aubergine, fried in butter","aubergine, fried in butter calculation from fried in corn oil",Calculation from fried in corn oil,DG,,"Calculated using data from Vegetables, Herbs and Spices Supplement (1991) 13-162, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",
13-162,13-162,1,54,"Aubergine, fried in corn oil","aubergine, fried in corn oil sliced; shallow fried 10 minutes",Sliced; shallow fried 10 minutes,DG,50-740,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",
13-577,13-577,1,55,"Aubergine, fried in rapeseed oil","aubergine, fried in rapeseed oil calculated from fried in corn oil and 17-686",Calculated from fried in corn oil and 17-686,DG,13-413,"Updated 2014. Calculated using data from Vegetables, Herbs and Spices Supplement (1991) 13-162, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",
13-161,13-161,1,56,"Aubergine, raw","aubergine, raw ends trimmed",Ends trimmed,DG,50-739,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",
15-001,15-001,1,57,"Aubergine, stuffed with lentils and vegetables","aubergine, stuffed with lentils and vegetables recipe from dietary survey records. whole dish consumed",Recipe from dietary survey records. Whole dish consumed,DR,,As Vegetable Dishes Supplement 1992,
15-662,15-662,1,58,"Aubergine, stuffed with rice","aubergine, stuffed with rice rice, tomato, onion and raisin stuffing. recipe from review of recipe collection. whole dish consumed","Rice, tomato, onion and raisin stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,15-385,Updated 2014,
15-663,15-663,1,59,"Aubergine, stuffed with vegetables, cheese topping","aubergine, stuffed with vegetables, cheese topping tomato, mushroom and onion stuffing. recipe from review of recipe collection. whole dish consumed","Tomato, mushroom and onion stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,15-386,Updated 2014,
14-039,14-039,1,60,"Avocado, Fuerte, flesh only","avocado, fuerte, flesh only 10 samples and literature",10 samples and literature,FA,,"LGC, Fruit and vegetables, 1989-1990",
14-040,14-040,1,61,"Avocado, Fuerte, flesh only, weighed with skin and stone","avocado, fuerte, flesh only, weighed with skin and stone calculated from 14-039",Calculated from 14-039,FA,,"LGC, Fruit and vegetables, 1989-1990",
14-386,14-386,1,62,"Avocado, Hass, flesh only","avocado, hass, flesh only 11 samples, imported, hass variety, ripe and ripen at home","11 samples, imported, Hass variety, ripe and ripen at home",FA,14-041 14-037,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",
14-387,14-387,1,63,"Avocado, Hass, flesh only, weighed with skin and stone","avocado, hass, flesh only, weighed with skin and stone calculated from 14-386",Calculated from 14-386,FA,14-042 14-038,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",
16-001,16-001,1,64,"Ayr, raw","ayr, raw literature sources. imported frozen from bangladesh",Literature sources. Imported frozen from Bangladesh,JA,,"Gopalan et al (1980) Nutritive value of Indian foods. National Insitute of Nutrition, Indian Council of Medical Research",
14-043,14-043,1,65,"Babaco, flesh only","babaco, flesh only literature sources",Literature sources,FA,,"Cashel et al (1989) Composition of foods, Australia, volume 1, and Wu Leung and Flores (1961) Food composition table for use in Latin America, Institute of Nutrition of Central America and Panama",
16-169,16-169,1,66,"Bacha, raw","bacha, raw literature sources. imported frozen from bangladesh",Literature sources. Imported frozen from Bangladesh,JC,,"Gopalan et al (1980) Nutritive value of Indian foods. National Insitute of Nutrition, Indian Council of Medical Research",
19-644,19-644,1,67,"Bacon loin steaks, lean, grilled","bacon loin steaks, lean, grilled 7 samples; smoked and unsmoked, loose and prepacked danish bacon","7 samples; smoked and unsmoked, loose and prepacked Danish bacon",MAA,19-019,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",
19-645,19-645,1,68,"Bacon rashers, back, dry-cured, grilled","bacon rashers, back, dry-cured, grilled 7 samples; smoked and unsmoked, loose and prepacked british and irish bacon","7 samples; smoked and unsmoked, loose and prepacked British and Irish bacon",MAA,19-006,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",
19-498,19-498,1,69,"Bacon rashers, back, dry-fried","bacon rashers, back, dry-fried 10 samples; smoked and unsmoked, loose and prepacked british, danish and dutch bacon","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-002,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",
19-499,19-499,1,70,"Bacon rashers, back, fat trimmed, grilled","bacon rashers, back, fat trimmed, grilled 15 samples; smoked and unsmoked, loose and prepacked british, danish and dutch bacon, back fat removed","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon, back fat removed",MAA,19-008,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",
19-646,19-646,1,71,"Bacon rashers, back, fat trimmed, raw","bacon rashers, back, fat trimmed, raw 24 samples, back fat removed. mlc data and calculation from 19-499","24 samples, back fat removed. MLC data and calculation from 19-499",MAA,19-007,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; industry data 2013; vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",
19-500,19-500,1,72,"Bacon rashers, back, grilled","bacon rashers, back, grilled 15 samples; smoked and unsmoked, loose and prepacked british, danish and dutch bacon","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-003,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",
19-501,19-501,1,73,"Bacon rashers, back, grilled crispy","bacon rashers, back, grilled crispy 10 samples; smoked and unsmoked, loose and prepacked british, danish and dutch bacon","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-004,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",
19-502,19-502,1,74,"Bacon rashers, back, microwaved","bacon rashers, back, microwaved 15 samples; smoked and unsmoked, loose and prepacked british, danish and dutch bacon","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-005,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",
19-497,19-497,1,75,"Bacon rashers, back, raw","bacon rashers, back, raw 10 samples; smoked and unsmoked, loose and prepacked british, danish and dutch bacon","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,19-001,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2013",
19-009,19-009,1,76,"Bacon rashers, back, reduced salt, grilled","bacon rashers, back, reduced salt, grilled 6 samples; smoked and unsmoked, loose and prepacked british and danish bacon","6 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; Na reviewed 2014",
19-659,19-659,1,77,"Bacon rashers, back, smoked, grilled","bacon rashers, back, smoked, grilled 9 samples; loose and prepacked british and danish bacon",9 samples; loose and prepacked British and Danish bacon,MAA,19-010,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",
19-647,19-647,1,78,"Bacon rashers, back, sweetcure, grilled","bacon rashers, back, sweetcure, grilled 9 samples; smoked and unsmoked, loose and prepacked british and danish bacon","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-011,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",
19-660,19-660,1,79,"Bacon rashers, back, 'tendersweet', grilled","bacon rashers, back, 'tendersweet', grilled 10 samples; smoked and unsmoked, loose and prepacked british bacon","10 samples; smoked and unsmoked, loose and prepacked British bacon",MAA,19-012,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",
19-648,19-648,1,80,"Bacon rashers, middle, fried in corn oil","bacon rashers, middle, fried in corn oil 9 samples; smoked and unsmoked, loose and prepacked british and danish bacon","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-014,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",
19-503,19-503,1,81,"Bacon rashers, middle, grilled","bacon rashers, middle, grilled 9 samples; smoked and unsmoked, loose and prepacked british and danish bacon","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-015,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",
19-649,19-649,1,82,"Bacon rashers, middle, raw","bacon rashers, middle, raw 9 samples; smoked and unsmoked, loose and prepacked british and danish bacon","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-013,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",
19-504,19-504,1,83,"Bacon rashers, streaky, fried in corn oil","bacon rashers, streaky, fried in corn oil 10 samples; smoked and unsmoked, loose and prepacked british and danish bacon","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,19-017,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994",
19-018,19-018,1,84,"Bacon rashers, streaky, grilled","bacon rashers, streaky, grilled 10 samples; smoked and unsmoked, loose and prepacked british and danish bacon","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,50-359,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of bacon, 1993-1994",
19-016,19-016,1,85,"Bacon rashers, streaky, raw","bacon rashers, streaky, raw 10 samples; smoked and unsmoked, loose and prepacked british and danish bacon","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,50-351,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of bacon, 1993-1994",
19-537,19-537,1,86,"Bacon, fat only, average, cooked","bacon, fat only, average, cooked fat from five different cuts",Fat from five different cuts,MAA,50-339,"MW4, 1978; and industry data, 2013. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",
19-650,19-650,1,87,"Bacon, fat only, average, raw","bacon, fat only, average, raw fat from five different cuts",Fat from five different cuts,MAA,50-338,"MW4, 1978; and industry data, 2013","Bacon may contain small amounts of vitamins. However, it is extremely difficult to obtain satisfactory analytical values for inclusion in the tables"
11-970,11-970,1,88,"Bagels, plain","bagels, plain 2 brands",2 brands,AP,11-534,"RHM, Nutrient content of selected foods, 1995; and industry data, 2013",
13-578,13-578,1,89,"Baked beans, canned in barbecue sauce","baked beans, canned in barbecue sauce 5 cans (heinz), and manufacturer's data","5 cans (Heinz), and manufacturer's data",DB,13-051,"Vegetables, Herbs and Spices Supplement, 1991; estimated from 13-532; and industry data, 2014",
13-532,13-532,1,90,"Baked beans, canned in tomato sauce","baked beans, canned in tomato sauce 16 samples, 9 brands","16 samples, 9 brands",DB,,"DH, Nutrient analysis of fruit and vegetables, 2013",
13-535,13-535,1,91,"Baked beans, canned in tomato sauce, reduced sugar, reduced salt","baked beans, canned in tomato sauce, reduced sugar, reduced salt estimated from 13-532 and industry data",Estimated from 13-532 and industry data,DB,,"DH, Nutrient analysis of fruit and vegetables, 2013; and industry data, 2013",
13-579,13-579,1,92,"Baked beans, canned in tomato sauce, with pork sausages","baked beans, canned in tomato sauce, with pork sausages lgc; 10 cans, 3 brands","LGC; 10 cans, 3 brands",DB,13-048,"Vegetables, Herbs and Spices Supplement, 1991; and indsutry data, 2014",
12-500,12-500,1,93,"Baking fat and margarine (75-90% fat), hard block","baking fat and margarine (75-90% fat), hard block 10 samples, 4 products, including stork and own brands","10 samples, 4 products, including Stork and own brands",BTM,17-539 17-018,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",
17-355,17-355,1,94,Baking powder,baking powder 6 samples of the same brand,6 samples of the same brand,WY,50-1174,"Reviewed 2013. MW4, 1978",
11-1029,11-1029,1,95,"Banana bread, homemade","banana bread, homemade recipe",Recipe,AN,11-573,Based on Mary Berry's complete cookbook. Recalculated 2014,
12-556,12-556,1,96,"Banana split, homemade","banana split, homemade recipe",Recipe,BP,12-447,Updated 2014,
14-318,14-318,1,97,"Bananas, flesh only","bananas, flesh only 11 samples, including fairtrade and organic, pre-packed and loose","11 samples, including Fairtrade and organic, pre-packed and loose",FA,14-045,"DH, Nutrient analysis of fruit and vegetables, 2013",
14-347,14-347,1,98,"Bananas, raw, flesh only, weighed with skin","bananas, raw, flesh only, weighed with skin calculated from 14-318 using edible factor of 0.87",Calculated from 14-318 using edible factor of 0.87,FA,14-318,"DH, Nutrient analysis of fruit and vegetables, 2013. Vitamin K1 calculated from Bolton-Smith et al, Br.J. Nutr 83, 2000.",
11-1030,11-1030,1,99,"Bannocks, made with beremeal, homemade","bannocks, made with beremeal, homemade recipe",Recipe,AF,11-627,Updated 2014,
11-951,11-951,1,100,"Bannocks, made with wheat flour, homemade","bannocks, made with wheat flour, homemade recipe",Recipe,AF,11-628,Updated 2014,
17-705,17-705,1,101,Barbecue sauce,barbecue sauce literature sources (1980),Literature sources (1980),WCN,17-289,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",
17-769,17-769,1,102,"Barbecue sauce, homemade","barbecue sauce, homemade recipe",Recipe,WC,17-609,Updated 2014,
14-804,14-804,1,103,"Barcelona nuts, Kernel only","barcelona nuts, kernel only kernel only",Kernel only,GA,,"MW4, 1978. Values reviewed for Fruit and Nuts Supplement, 1992",
14-805,14-805,1,104,"Barcelona nuts, kernel only, weighed with shells","barcelona nuts, kernel only, weighed with shells calculated from 14-804",Calculated from 14-804,GA,,"MW4, 1978. Values reviewed for Fruit and Nuts Supplement, 1992",
17-844,17-844,1,105,"Barley water, diluted","barley water, diluted calculated from 50g concentrate to 200ml water",Calculated from 50g concentrate to 200ml water,PCC,17-186,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",
17-743,17-743,1,106,"Barley water, undiluted","barley water, undiluted orange and lemon flavours",Orange and lemon flavours,PCC,17-185,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",
11-003,11-003,1,107,"Barley, pearl, boiled","barley, pearl, boiled 2 samples from different shops, boiled in water","2 samples from different shops, boiled in water",AA,,"MW4, 1978. Reviewed 2014",
11-002,11-002,1,108,"Barley, pearl, raw","barley, pearl, raw 2 samples from different shops; literature sources",2 samples from different shops; literature sources,AA,,"MW4, 1978. Reviewed 2014",
13-805,13-805,1,109,"Basil, dried, ground","basil, dried, ground literature sources",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",
13-804,13-804,1,110,"Basil, fresh","basil, fresh 6 samples and literature sources",6 samples and literature sources,H,,"Reviewed 2013. LGC, Fruit and Vegetables, 1989-1990; Polacchi et al. (1982) Food composition tables for the near east; and Wu Leung et al. (1972) Food composition table for use in East Asia",
16-386,16-386,1,111,"Bass, sea, flesh only, baked","bass, sea, flesh only, baked 10 samples, 10 products, frozen and chilled","10 samples, 10 products, frozen and chilled",JA,,"DH, Nutrient analysis of fish and fish products, 2013",
16-463,16-463,1,112,"Bass, sea, flesh only, baked, weighed with bones and skin","bass, sea, flesh only, baked, weighed with bones and skin calculated from baked 16-386 using edible conversion factor 0.89",Calculated from baked 16-386 using edible conversion factor 0.89,JA,,"DH, Nutrient analysis of fish and fish products, 2013",
16-385,16-385,1,113,"Bass, sea, flesh only, raw","bass, sea, flesh only, raw 10 samples, 10 products, frozen and chilled","10 samples, 10 products, frozen and chilled",JA,,"DH, Nutrient analysis of fish and fish products, 2013",
