food_id,food_code,duplicate_code_sequence,source_row_index,food_name,search_name,description,group_code,previous_code,main_data_references,footnote
11-1004,11-1004,1,411,"Bread, white, 'with added fibre', toasted","bread, white, 'with added fibre', toasted calculated using weight loss of 16%",Calculated using weight loss of 16%,AF,11-473,"Industry data, 2013; and calculated",
11-981,11-981,1,412,"Bread, wholemeal, average","bread, wholemeal, average 21 samples, sliced and unsliced","21 samples, sliced and unsliced",AF,11-476,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013. Vitamin K1 value from Bolton-Smith et al, Br. J. Nutr. 83, 2000",
11-982,11-982,1,413,"Bread, wholemeal, toasted","bread, wholemeal, toasted calculated using weight loss of 14.6%",Calculated using weight loss of 14.6%,AF,11-611,"LGC, Nutrient analysis of bread and morning goods, 1999; and industry data, 2013",
13-168,13-168,1,414,"Breadfruit, boiled in unsalted water","breadfruit, boiled in unsalted water literature sources",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",
13-167,13-167,1,415,"Breadfruit, raw","breadfruit, raw literature sources",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",
14-895,14-895,1,416,"Breadnut seeds, dried","breadnut seeds, dried literature sources",Literature sources,G,14-810,"McCarthy and Matthews (1984) Composition of foods: nut and seed products, raw, processed and prepared, Agriculture Handbook No. 8-12. USDA SR27 (2014).",
11-826,11-826,1,417,"Breadsticks, plain","breadsticks, plain 10 samples, 5 products","10 samples, 5 products",AM,17-123,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",
11-763,11-763,1,418,"Breakfast cereal, bran flakes, fortified","breakfast cereal, bran flakes, fortified 15 samples, 8 products, including kellogg's and own brands","15 samples, 8 products, including Kellogg's and own brands",AI,11-486,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-767,11-767,1,419,"Breakfast cereal, bran type cereal, fortified","breakfast cereal, bran type cereal, fortified 15 samples, 9 products, including all-bran and own brand","15 samples, 9 products, including All-Bran and own brand",AI,11-485,"LGC, Nutrient survey of breakfast cereals, 2004",
11-746,11-746,1,420,"Breakfast cereal, cornflakes, crunchy / honey nut coated, fortified","breakfast cereal, cornflakes, crunchy / honey nut coated, fortified 10 samples, 7 products, including crunchy nut corn flakes and own label","10 samples, 7 products, including Crunchy Nut Corn Flakes and own label",AI,11-491,Nutrient survey of breakfast cereals 2004. Updated using 2013 manufacturers' label data,
11-742,11-742,1,421,"Breakfast cereal, cornflakes, fortified","breakfast cereal, cornflakes, fortified 15 samples, 9 products, including kellogg's and other / own brands","15 samples, 9 products, including Kellogg's and other / own brands",AI,11-490,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-749,11-749,1,422,"Breakfast cereal, cornflakes, frosted, fortified","breakfast cereal, cornflakes, frosted, fortified 10 samples, 8 products, including frosties and own brand","10 samples, 8 products, including Frosties and own brand",AI,11-492,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-745,11-745,1,423,"Breakfast cereal, cornflakes, unfortified","breakfast cereal, cornflakes, unfortified 7 samples, 4 products, organic","7 samples, 4 products, organic",AI,,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-938,11-938,1,424,"Breakfast cereal, crunchy clusters type, without nuts, unfortified","breakfast cereal, crunchy clusters type, without nuts, unfortified 7 samples, 5 brands, including jordans country crisp, quaker oat granola and own brand","7 samples, 5 brands, including Jordans Country Crisp, Quaker Oat granola and own brand",AI,11-783 11-138 11-403,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",
11-939,11-939,1,425,"Breakfast cereal, crunchy/crispy muesli type cereal, with nuts, unfortified","breakfast cereal, crunchy/crispy muesli type cereal, with nuts, unfortified 7 samples, 5 brands, including jordans's country crisp, kellogg's crunchy nut clusters and own labels","7 samples, 5 brands, including Jordans's Country Crisp, Kellogg's Crunchy Nut Clusters and own labels",AI,11-783 11-138 11-403 11-784,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",
11-779,11-779,1,426,"Breakfast cereal, fruit and fibre type, fortified","breakfast cereal, fruit and fibre type, fortified 10 samples, 7 products, including kellogg's fruit 'n fibre and own brand","10 samples, 7 products, including Kellogg's Fruit 'n Fibre and own brand",AI,11-493,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-755,11-755,1,427,"Breakfast cereal, honey loops and hoops, including Honey and Nut Cheerios, fortified","breakfast cereal, honey loops and hoops, including honey and nut cheerios, fortified 8 samples, 5 products, including honey loops and own brands. based on honey nut cheerios and products containing nuts","8 samples, 5 products, including Honey Loops and own brands. Based on Honey Nut Cheerios and products containing nuts",AI,,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-792,11-792,1,428,"Breakfast cereal, instant hot oat, plain, raw, fortified","breakfast cereal, instant hot oat, plain, raw, fortified 10 samples, 7 products, including ready brek and own brands","10 samples, 7 products, including Ready Brek and own brands",AI,11-496,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-760,11-760,1,429,"Breakfast cereal, malted flake, fortified","breakfast cereal, malted flake, fortified 9 samples, 6 products, including special k and own brand","9 samples, 6 products, including Special K and own brand",AI,11-501,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-761,11-761,1,430,"Breakfast cereal, malted wheat, fortified","breakfast cereal, malted wheat, fortified 8 samples, 5 products, including shreddies and own brand","8 samples, 5 products, including Shreddies and own brand",AI,11-500,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-1019,11-1019,1,431,"Breakfast cereal, multigrain hoops, fortified","breakfast cereal, multigrain hoops, fortified including cheerios and own brands",Including Cheerios and own brands,AI,11-623,"Industry data, 1999 and 2013",
11-795,11-795,1,432,"Breakfast cereal, Oat, instant, flavoured, unfortified, made up with semi-skimmed milk","breakfast cereal, oat, instant, flavoured, unfortified, made up with semi-skimmed milk quaker oat so simple; 6 samples, 4 products, including golden syrup, berry and baked apple flavour. 36g sachet made up with 180g milk","Quaker Oat So Simple; 6 samples, 4 products, including golden syrup, berry and baked apple flavour. 36g sachet made up with 180g milk",AI,,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-793,11-793,1,433,"Breakfast cereal, oat, instant, plain, fortified, cooked, made up with semi-skimmed milk","breakfast cereal, oat, instant, plain, fortified, cooked, made up with semi-skimmed milk 10 samples, 7 products, including ready brek and own brands. 40g oat cereal made up with 200g milk","10 samples, 7 products, including Ready Brek and own brands. 40g oat cereal made up with 200g milk",AI,,"LGC, Nutrient survey of breakfast cereals, 2004",
11-757,11-757,1,434,"Breakfast cereal, puffed wheat, honey coated, fortified","breakfast cereal, puffed wheat, honey coated, fortified 16 samples, 8 products, including sugar puffs and own brand","16 samples, 8 products, including Sugar Puffs and own brand",AI,11-503,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-756,11-756,1,435,"Breakfast cereal, puffed wheat, unfortified","breakfast cereal, puffed wheat, unfortified 10 samples, 3 products, including quaker puffed wheat and own brands","10 samples, 3 products, including Quaker Puffed Wheat and own brands",AI,11-144,"LGC, Nutrient survey of breakfast cereals, 2004",
11-753,11-753,1,436,"Breakfast cereal, rice, chocolate flavoured, fortified","breakfast cereal, rice, chocolate flavoured, fortified 10 samples, 5 products, including coco pops and own brand","10 samples, 5 products, including Coco Pops and own brand",AI,11-488,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-750,11-750,1,437,"Breakfast cereal, rice, toasted/crisp, fortified","breakfast cereal, rice, toasted/crisp, fortified 13 samples, 6 products, including rice krispies and own brand","13 samples, 6 products, including Rice Krispies and own brand",AI,11-497,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-754,11-754,1,438,"Breakfast cereal, Ricicles, Kellogg's","breakfast cereal, ricicles, kellogg's 6 samples, 1 product","6 samples, 1 product",AI,11-498,Nutrient survey of breakfast cereals 2004,
11-777,11-777,1,439,"Breakfast cereal, shredded wheat type with fruit, unfortified","breakfast cereal, shredded wheat type with fruit, unfortified 6 samples, 3 products, including raisin wheats and own brand apricot wheats","6 samples, 3 products, including Raisin Wheats and own brand apricot wheats",AI,50-079,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
